id,Nombre,Plataforma,Marca,Puntuacion_usuario
3580,The Council - Episode 4: Burning Bridges,PlayStation4,PlayStation,61.0
3581,MotoGP 08,Xbox360,Xbox,61.0
3582,The Sims 3: Pets,PC,PC_Gamer,61.0
3583,Fable II Pub Games,Xbox360,Xbox,61.0
3584,The Simpsons Game,Wii,Nintendo,61.0
3585,Elefunk,PlayStation3,PlayStation,61.0
3586,Battlefield Heroes,PC,PC_Gamer,61.0
3587,Evil Dead: Hail to the King,PlayStation,PlayStation,61.0
3588,V-Rally 4,XboxOne,Xbox,61.0
3589,Toybox Turbos,PC,PC_Gamer,61.0
3590,Far Cry 4: Escape from Durgesh Prison,PlayStation4,PlayStation,61.0
3591,Ary and the Secret of Seasons,PlayStation4,PlayStation,61.0
3592,Race the Sun,PlayStation4,PlayStation,61.0
3593,Skylanders Swap Force,3DS,Nintendo,61.0
3594,Europa Universalis: Rome,PC,PC_Gamer,61.0
3595,Star Hammer: The Vanguard Prophecy,PC,PC_Gamer,61.0
3596,Lost Planet 3,PC,PC_Gamer,61.0
3597,Guitar Hero: Smash Hits,Xbox360,Xbox,61.0
3598,Pokemon Shuffle,3DS,Nintendo,61.0
3599,Dance Factory,PlayStation2,PlayStation,61.0
3600,Marvel's Spider-Man: Turf Wars,PlayStation4,PlayStation,61.0
3601,Perception,PlayStation4,PlayStation,61.0
3602,Q*bert: Rebooted: The XBOX One @!#?@! Edition,XboxOne,Xbox,61.0
3603,Valfaris,PlayStation4,PlayStation,61.0
3604,NBA 2K16,XboxOne,Xbox,61.0
3605,Hyperdimension Neptunia PP: Producing Perfection,PlayStationVita,PlayStation,61.0
3606,Iron Man,PlayStation3,PlayStation,61.0
3607,Shin Megami Tensei: Persona 3,PlayStation2,PlayStation,61.0
3608,Skylanders Swap Force,WiiU,Nintendo,61.0
3609,Airborne Assault: Highway to the Reich,PC,PC_Gamer,61.0
3610,Stronghold: Crusader II,PC,PC_Gamer,61.0
3611,Call of Duty: Black Ops,Wii,Nintendo,61.0
3612,NHL 14,PlayStation3,PlayStation,61.0
3613,Azur Lane: Crosswave,PlayStation4,PlayStation,61.0
3614,Crossing Souls,Switch,Nintendo,61.0
3615,Anno 2205,PC,PC_Gamer,61.0
3616,Mass Effect 2: Arrival,PlayStation3,PlayStation,61.0
3617,WWE Day of Reckoning 2,GameCube,Nintendo,61.0
3618,Resident Evil 6,PC,PC_Gamer,61.0
3619,Unbox: Newbie's Adventure,Switch,Nintendo,61.0
3620,Proteus,PlayStationVita,PlayStation,61.0
3621,Kholat,PlayStation4,PlayStation,61.0
3622,The Incredibles,Xbox,Xbox,61.0
3623,Chronus Arc,3DS,Nintendo,61.0
3624,Shadwen,PC,PC_Gamer,61.0
3625,Secret of Mana,PlayStation4,PlayStation,61.0
3626,Lost Planet 2,PC,PC_Gamer,62.0
3627,Madden NFL 15,XboxOne,Xbox,62.0
3628,The LEGO NINJAGO Movie Video Game,PlayStation4,PlayStation,62.0
3629,The Westport Independent,PC,PC_Gamer,62.0
3630,Desert Child,PlayStation4,PlayStation,62.0
3631,Cloudberry Kingdom,PlayStation3,PlayStation,62.0
3632,Dash of Destruction,Xbox360,Xbox,62.0
3633,Th3 Plan,PlayStation2,PlayStation,62.0
